Companies	Details
Representative	Mr. Malik Ehtisham Ikram
Designation	Chief Executive Officer
Company	Al-Ghazi Tractors Limited
Address	"Tractor House, Plot No.102-B, 16th East Street , Phase-1, D.H.A., Off: Korangi Road,Karachi"
Phone	021-35318901-5
Phone 2	
Fax	021-35689387-35660882
Date of Listing	10/02/1985
Email	rashid.external@alghazitractors.com
URL	www.alghazitractors.com
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. Saquib H. Shirazi
Designation	Chief Executive
Company	Atlas Honda Limited
Address	"1-Mcleod Road , ,Lahore"
Phone	"042-37225015-17, 37233515-17"
Phone 2	
Fax	042-37233518-37351119
Date of Listing	15/10/1965
Email	marrium.ahmed@atlashonda.com.pk
URL	www.atlashonda.com.pk
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Waseem-ul-Haque Ansari
Designation	Chief Executive Officer
Company	Dewan Farooque Motors Limited
Address	"Dewan Centre, 3-A, Lalazar , Beach Hotel Road,Karachi"
Phone	111-364-111
Phone 2	
Fax	021-35630860
Date of Listing	31/07/2000
Email	info@dewan-motors.com
URL	www.yousufdewan.com
Registrar	BMF Consultants Pakistan (Pvt.) Ltd.
	
Representative	Mr. Ahmed Kuli Khan Khattak
Designation	Chief Executive Officer
Company	Ghandhara Industries Limited
Address	"F-3, Hub Chauki Road , S.I.T.E. Post Box No. 2706,Karachi"
Phone	021-38709000
Phone 2	021-32560083-86
Fax	021-32560090-32564458
Date of Listing	03/09/1963
Email	info@gil.com.pk
URL	www.gil.com.pk
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Ahmed Kuli Khan Khattak
Designation	Chief Executive Officer
Company	Ghandhara Nissan Limited
Address	"F-3, Hub Chowki Road , S.I.T.E.,Karachi"
Phone	021-32556901-10
Phone 2	111-190-190
Fax	021-32556911-12
Date of Listing	28/09/1993
Email	info@ghandhara.com.pk
URL	www.ghandhara.com.pk
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Takafumi Koike
Designation	President / Chief Executive Officer
Company	Honda Atlas Cars (Pakistan) Limited
Address	"43 Km. Multan Road , Manga Mandi,Lahore"
