,Symbols,Company,Sector
0,AGTL,Al-Ghazi Tractors Limited.,Automobile assembler
1,ATLH,Atlas Honda Limited.,Automobile assembler
2,DFML,Dewan Farooque Motors Limited [ DEFAULTER SEGMENT ],Automobile assembler
3,GHNI,Ghandhara Industries Ltd.,Automobile assembler
4,GHNL,Ghandhara Nissan Ltd.,Automobile assembler
5,HCAR,Honda Atlas Cars (Pak) Ltd.,Automobile assembler
6,HINO,Hino Pak Motor Limited.,Automobile assembler
7,INDU,Indus Motor Company Ltd.,Automobile assembler
8,MTL,Millat Tractors Limited.,Automobile assembler
9,PSMC,Pak Suzuki Motors Co Ltd. (XD),Automobile assembler
10,SAZEW,Sazgar Engineering Works Ltd.,Automobile assembler
11,SAZEWR,Sazgar Engineering Works Ltd.(R),Automobile assembler
12,AGIL,Agriautos Industries Co. Ltd.,Automobile parts & accessories
13,ATBA,Atlas Battery Ltd.,Automobile parts & accessories
14,BELA,Bela Automotives Ltd. [ DEFAULTER SEGMENT ],Automobile parts & accessories
15,BWHL,Baluchistan Wheels Ltd.,Automobile parts & accessories
16,DWAE,Dewan Automotive Engineering Ltd. [ DEFAULTER SEGMENT ],Automobile parts & accessories
17,EXIDE,Exide Pakistan Ltd.,Automobile parts & accessories
18,GTYR,Ghandhara Tyre & Rubber Company Ltd.,Automobile parts & accessories
19,LOADS,Loads Limited.,Automobile parts & accessories
20,PTL,Panther Tyres Limited,Automobile parts & accessories
21,THALL,Thal Limited.,Automobile parts & accessories
22,AGSILSC,Agha Steel Industries Ltd.(SUKUK),Bonds
23,AKBLTFC6,Askari Bank Ltd.(TFC),Bonds
24,AKBLTFC7,Askari Bank Ltd.(TFC7),Bonds
25,AZLCLTFC2,Al-Zamin Leasing Corporation(2nd Issue) [ DEFAULTER SEGMENT ],Bonds
26,BAFLTFC6,Bank Alfalah Limited.(TFC6),Bonds
27,BAFLTFC7,Bank Alfalah Limited.(TFC7),Bonds
28,BIPLSC,Bankislami Pakistan Ltd.-SUKUK,Bonds
29,CNERGYSC,Cnergyico PK Limited.(SUKUK),Bonds
30,EPCLSC,Engro Polymer & Chemicals Ltd.(SUKUK),Bonds
31,HBLTFC2,Habib Bank Limited.(TFC2),Bonds
32,HUBCSC2,Hub Power Company Limited.(SUKUK),Bonds
33,HUBCSC4,Hub Power Company Limited.(SUKUK),Bonds
34,HUBPHLSC,Hub Power Holding Limited SUKUK,Bonds
35,JSBLTFC1,JS Bank Limited (TFC1),Bonds
36,JSBLTFC2,JS Bank Limited (TFC2),Bonds
37,JSTFC11,Jahangir Siddiqui & Co. Limited-TFC11,Bonds
38,KELSC4,K-Electric Limited-SUKUK-4,Bonds
39,KELSC5,K-Electric Limited-SUKUK-5,Bonds
40,KFTFC1,KASHF Foundation,Bonds
41,MUGHALSC,Mughal Iron & Steel SUKUK,Bonds
42,NEXTCP,Next Capital Limited (CP),Bonds
43,NSB10Y1,National Savings Bonds,Bonds
44,PACETFC,PACE Pakistan Ltd.(TFC) [ DEFAULTER SEGMENT ],Bonds
45,PESC1,Pakistan Energy SUKUK-1,Bonds
46,PESC2,Pakistan Energy SUKUK-2,Bonds
47,SBLTFC,Samba Bank Limited (TFC),Bonds
48,SMBLTFC,SUMMIT Bank Limited.(TFC),Bonds
49,SNBLTFC2,Soneri Bank Limited(TFC2),Bonds
50,SNBLTFC3,Soneri Bank Limited(TFC3),Bonds
51,TELETFC,Telecard Ltd.(TFC),Bonds
52,TFCTRIBL,Trust Investment Bank Ltd. [ DEFAULTER SEGMENT ],Bonds
53,UBLTFC5,United Bank Limited(TFC-5),Bonds
54,WTLTFC3,Worldcall Lelecom Ltd.,Bonds
55,EMCO,EMCO Industries Ltd.,Cable & electrical goods
56,JOPP,Johnson & Philips (Pak) Ltd.,Cable & electrical goods
57,PAEL,Pak Elektron Ltd.,Cable & electrical goods
58,PAELR3,Pakistan Elektron Ltd.(R3),Cable & electrical goods
59,PCAL,Pakistan Cables Ltd.,Cable & electrical goods
60,PELPS,Pakistan Elektron Ltd.(PS),Cable & electrical goods
61,SIEM,Siemens (Pak) Eng. Co. Ltd.,Cable & electrical goods
62,WAVES,WAVES Singer Pakistan Ltd.,Cable & electrical goods
63,ACPL,Attock Cement Pak Ltd.,Cement
64,BWCL,Bestway Cement Limited.,Cement
65,CHCC,Cherat Cement Co. Ltd.,Cement
66,DBCI,Dadabhoy Cement Industries Ltd [ DEFAULTER SEGMENT ],Cement
67,DCL,Dewan Cement Limited.,Cement
68,DGKC,D. G. Khan Cement Co. Ltd.,Cement
69,DNCC,Dandot Cement Co. Ltd. [ DEFAULTER SEGMENT ],Cement
70,FCCL,Fauji Cement Co Ltd.,Cement
71,FECTC,Fecto Cement Ltd.,Cement
72,FLYNG,Flying Cement Company Ltd.,Cement
73,FLYNGR1,Flying Cement Company Ltd.(R1),Cement
74,GWLC,Gharibwal Cement Ltd.,Cement
75,JVDC,Javedan Corporation Ltd.,Cement
76,JVDCPS,Javedan Corporation Ltd-Non Voting.,Cement
77,KOHC,Kohat Cement Co. Ltd.,Cement
78,LPCL,Lafarge Pakistan Cement Limited.,Cement
79,LUCK,Lucky Cement Limited.,Cement
80,MLCF,Maple Leaf Cement Factory Ltd.,Cement
81,PIOC,Pioneer Cement Ltd.,Cement
82,POWER,Power cement Limited,Cement
83,POWERPS,Power cement Ltd. Preference Shares,Cement
84,SMCPL,Safe Mix Concrete Ltd.,Cement
85,THCCL,Thatta Cement Company Ltd.,Cement
86,ZELP,Zeal Pak Cement Factory Ltd. [ DEFAULTER SEGMENT ],Cement
87,AGL,Agritech Limited,Chemical
88,AGLNCPS,Agritech Ltd Non-Voting (Pref) Class A,Chemical
89,ARPL,Archroma Pakistan Limited.,Chemical
90,BAPL,Bawany Air Products Ltd. [ DEFAULTER SEGMENT ],Chemical
91,BERG,Berger Paints Pakistan Ltd.,Chemical
92,BIFO,Bifo Industries Ltd.,Chemical
93,BUXL,Buxly Paints Ltd.,Chemical
94,COLG,Colgate Palmolive (Pak) Ltd.,Chemical
95,DAAG,Data Agro Limited,Chemical
96,DOL,Descon Oxychem Ltd.,Chemical
97,DYNO,DYNEA Pak.,Chemical
98,EPCL,Engro Polymer & Chemicals Ltd.,Chemical
99,EPCLPS,Engro Polymer & Chemical Pref.Shares,Chemical
100,GGL,Ghani Global Holdings Limited.,Chemical
101,GTECH,G3 Technologies Limited,Chemical
102,ICI,ICI Pakistan Limited.,Chemical
103,ICL,Ittehad Chemical Ltd.,Chemical
104,LOTCHEM,Lotte Chemical Pakistan Ltd.,Chemical
105,LPGL,Leiner Pak Gelantine Limited.,Chemical
106,NICL,Nimir Industrial Chemical Ltd.,Chemical
107,NRSL,Nimir Resins Limited.,Chemical
108,PAKOXY,Pakistan Oxygen Limited.,Chemical
109,PPVC,Pakistan PVC [ DEFAULTER SEGMENT ],Chemical
110,SARC,Sardar Chemical IndustriesLtd.,Chemical
111,SHCI,Shaffi Chemical Ind. Ltd. [ DEFAULTER SEGMENT ],Chemical
112,SITC,Sitara Chemicals.,Chemical
113,SPL,Sitara Peroxide Limited,Chemical
114,WAHN,Wah Noble Chemicals Ltd.,Chemical
115,DOMF,Dominion Stock Fund [ DEFAULTER SEGMENT ],Close - end mutual fund
116,HGFA,HBL Growth Fund,Close - end mutual fund
117,HIFA,HBL Investment Fund,Close - end mutual fund
118,INMF,Investec Mutual Fund [ DEFAULTER SEGMENT ],Close - end mutual fund
119,PUDF,Prudential Stock Fund. [ DEFAULTER SEGMENT ],Close - end mutual fund
120,TSMF,Tri - Star Mutual Fund Ltd.,Close - end mutual fund
121,ABL,Allied Bank Ltd.,Commercial banks
122,AKBL,Askari Bank Limited.,Commercial banks
123,BAFL,Bank Alfalah Ltd.,Commercial banks
124,BAHL,Bank Al-Habib Ltd.,Commercial banks
125,BIPL,Bankislami Pakistan Ltd.,Commercial banks
126,BOK,The Bank of Khyber.(XB),Commercial banks
127,BOP,Bank Of Punjab.(XB),Commercial banks
128,FABL,Faysal Bank Limited.,Commercial banks
129,HBL,Habib Bank Limited.,Commercial banks
130,HMB,Habib Metropolitan Bank Limited.,Commercial banks
131,JSBL,JS Bank Limited.,Commercial banks
132,MCB,MCB Bank Limited.,Commercial banks
133,MEBL,Meezan Bank Limited.,Commercial banks
134,NBP,National Bank Of Pakistan.(XD),Commercial banks
135,SBL,Samba Bank Limited.,Commercial banks
136,SCBPL,Standard Chartered Bank Pak Ltd.,Commercial banks
137,SILK,Silk Bank Limited.,Commercial banks
138,SMBL,Summit Bank Limited.,Commercial banks
139,SNBL,Soneri Bank Ltd.,Commercial banks
140,UBL,United Bank Ltd.,Commercial banks
141,ADOS,Ados Pakistan Limited.,Engineering
142,AGHA,Agha Steel Industries Ltd.,Engineering
143,ASL,Aisha Steel Mills Limited.,Engineering
144,ASLCPS,Aisha Steel Mills Convertible Cumul,Engineering
145,ASLPS,Aisha Steel Mills Convertibl Pre-Sh,Engineering
146,ASTL,Amreli Steels Limited.,Engineering
147,BCL,Bolan Casting Ltd.,Engineering
148,BECO,Beco Steel Limited,Engineering
149,CSAP,Crescent Steel & Allied Product.,Engineering
150,DADX,Dadex Eternit Ltd.,Engineering
151,DSL,Dost Steels Ltd. [ DEFAULTER SEGMENT ],Engineering
152,HSPI,Huffaz Seamless Pipe Industries. [ DEFAULTER SEGMENT ],Engineering
153,INIL,International Industries Ltd.,Engineering
154,ISL,International Steels Limited.,Engineering
155,ITTEFAQ,Ittefaq Iron Industries Limited.,Engineering
156,KSBP,KSB Pumps Co Ltd.,Engineering
157,MSCL,Metropolitan Steel Corporation,Engineering
158,MUGHAL,Mughal Iron & Steels Ind Ltd.,Engineering
159,PECO,Pakistan Engineering Co Ltd. [ DEFAULTER SEGMENT ],Engineering
160,QUSW,Quality Steel Works Ltd. [ DEFAULTER SEGMENT ],Engineering
161,ACIETF,Alfalah Consumer Index ETF.,Exchange traded funds
162,JSMFETF,JS Momentum Factor ETF,Exchange traded funds
163,MZNPETF,Meezan Pakistan ETF,Exchange traded funds
164,NBPGETF,NBP Pakistan Growth ETF,Exchange traded funds
