AGTL	Al-Ghazi Tractors Limited.
ATLH	Atlas Honda Limited.
DFML	Dewan Farooque Motors Limited [ DEFAULTER SEGMENT ]
GHNI	Ghandhara Industries Ltd.
GHNL	Ghandhara Nissan Ltd.
HCAR	Honda Atlas Cars (Pak) Ltd.
HINO	Hino Pak Motor Limited.
INDU	Indus Motor Company Ltd.
MTL	Millat Tractors Limited.
PSMC	Pak Suzuki Motors Co Ltd. (XD)
SAZEW Sazgar Engineering Works Ltd.
SAZEWR Sazgar Engineering Works Ltd.(R)
AGIL	Agriautos Industries Co. Ltd.
ATBA	Atlas Battery Ltd.
BELA	Bela Automotives Ltd. [ DEFAULTER SEGMENT ]
BWHL	Baluchistan Wheels Ltd.
DWAE	Dewan Automotive Engineering Ltd. [ DEFAULTER SEGMENT ]
EXIDE	Exide Pakistan Ltd.
GTYR	Ghandhara Tyre & Rubber Company Ltd.
LOADS	Loads Limited.
PTL	Panther Tyres Limited
THALL	Thal Limited.
AGSILSC	Agha Steel Industries Ltd.(SUKUK)
AKBLTFC6	Askari Bank Ltd.(TFC)
AKBLTFC7	Askari Bank Ltd.(TFC7)
AZLCLTFC2	Al-Zamin Leasing Corporation(2nd Issue) [ DEFAULTER SEGMENT ]
BAFLTFC6	Bank Alfalah Limited.(TFC6)
BAFLTFC7	Bank Alfalah Limited.(TFC7)
BIPLSC	Bankislami Pakistan Ltd.-SUKUK
CNERGYSC	Cnergyico PK Limited.(SUKUK)
EPCLSC	Engro Polymer & Chemicals Ltd.(SUKUK)
HBLTFC2	Habib Bank Limited.(TFC2)
HUBCSC2	Hub Power Company Limited.(SUKUK)
HUBCSC4	Hub Power Company Limited.(SUKUK)
HUBPHLSC	Hub Power Holding Limited SUKUK
JSBLTFC1	JS Bank Limited (TFC1)
JSBLTFC2	JS Bank Limited (TFC2)
JSTFC11	Jahangir Siddiqui & Co. Limited-TFC11
KELSC4	K-Electric Limited-SUKUK-4
KELSC5	K-Electric Limited-SUKUK-5
KFTFC1	KASHF Foundation
MUGHALSC	Mughal Iron & Steel SUKUK
NEXTCP	Next Capital Limited (CP)
NSB10Y1	National Savings Bonds
PACETFC	PACE Pakistan Ltd.(TFC) [ DEFAULTER SEGMENT ]
PESC1	Pakistan Energy SUKUK-1
PESC2	Pakistan Energy SUKUK-2
SBLTFC	Samba Bank Limited (TFC)
SMBLTFC	SUMMIT Bank Limited.(TFC)
SNBLTFC2	Soneri Bank Limited(TFC2)
SNBLTFC3	Soneri Bank Limited(TFC3)
TELETFC	Telecard Ltd.(TFC)
TFCTRIBL	Trust Investment Bank Ltd. [ DEFAULTER SEGMENT ]
UBLTFC5	United Bank Limited(TFC-5)
WTLTFC3	Worldcall Lelecom Ltd.
EMCO	EMCO Industries Ltd.
JOPP	Johnson & Philips (Pak) Ltd.
PAEL	Pak Elektron Ltd.
PAELR3	Pakistan Elektron Ltd.(R3)
PCAL	Pakistan Cables Ltd.
PELPS	Pakistan Elektron Ltd.(PS)
SIEM	Siemens (Pak) Eng. Co. Ltd.
WAVES	WAVES Singer Pakistan Ltd.
ACPL	Attock Cement Pak Ltd.
BWCL	Bestway Cement Limited.
CHCC	Cherat Cement Co. Ltd.
DBCI	Dadabhoy Cement Industries Ltd [ DEFAULTER SEGMENT ]
DCL	Dewan Cement Limited.
DGKC	D. G. Khan Cement Co. Ltd.
DNCC	Dandot Cement Co. Ltd. [ DEFAULTER SEGMENT ]
FCCL	Fauji Cement Co Ltd.
FECTC	Fecto Cement Ltd.
FLYNG	Flying Cement Company Ltd.
FLYNGR1	Flying Cement Company Ltd.(R1)
GWLC	Gharibwal Cement Ltd.
JVDC	Javedan Corporation Ltd.
JVDCPS	Javedan Corporation Ltd-Non Voting.
KOHC	Kohat Cement Co. Ltd.
LPCL	Lafarge Pakistan Cement Limited.
LUCK	Lucky Cement Limited.
MLCF	Maple Leaf Cement Factory Ltd.
PIOC	Pioneer Cement Ltd.
POWER	Power cement Limited
POWERPS	Power cement Ltd. Preference Shares
SMCPL	Safe Mix Concrete Ltd.
THCCL	Thatta Cement Company Ltd.
ZELP	Zeal Pak Cement Factory Ltd. [ DEFAULTER SEGMENT ]
ACPL	Attock Cement Pak Ltd.
BWCL	Bestway Cement Limited.
CHCC	Cherat Cement Co. Ltd.
DBCI	Dadabhoy Cement Industries Ltd [ DEFAULTER SEGMENT ]
DCL	Dewan Cement Limited.
DGKC	D. G. Khan Cement Co. Ltd.
DNCC	Dandot Cement Co. Ltd. [ DEFAULTER SEGMENT ]
FCCL	Fauji Cement Co Ltd.
FECTC	Fecto Cement Ltd.
FLYNG	Flying Cement Company Ltd.
FLYNGR1	Flying Cement Company Ltd.(R1)
GWLC	Gharibwal Cement Ltd.
JVDC	Javedan Corporation Ltd.
JVDCPS	Javedan Corporation Ltd-Non Voting.
KOHC	Kohat Cement Co. Ltd.
LPCL	Lafarge Pakistan Cement Limited.
LUCK	Lucky Cement Limited.
MLCF	Maple Leaf Cement Factory Ltd.
PIOC	Pioneer Cement Ltd.
POWER	Power cement Limited
POWERPS	Power cement Ltd. Preference Shares
SMCPL	Safe Mix Concrete Ltd.
THCCL	Thatta Cement Company Ltd.
ZELP	Zeal Pak Cement Factory Ltd. [ DEFAULTER SEGMENT ]
DOMF	Dominion Stock Fund [ DEFAULTER SEGMENT ]
HGFA	HBL Growth Fund
HIFA	HBL Investment Fund
INMF	Investec Mutual Fund [ DEFAULTER SEGMENT ]
PUDF	Prudential Stock Fund. [ DEFAULTER SEGMENT ]
TSMF	Tri - Star Mutual Fund Ltd.
ABL	Allied Bank Ltd.
AKBL	Askari Bank Limited.
BAFL	Bank Alfalah Ltd.
BAHL	Bank Al-Habib Ltd.
BIPL	Bankislami Pakistan Ltd.
BOK	The Bank of Khyber.(XB)
BOP	Bank Of Punjab.(XB)
FABL	Faysal Bank Limited.
HBL	Habib Bank Limited.
HMB	Habib Metropolitan Bank Limited.
JSBL	JS Bank Limited.
MCB	MCB Bank Limited.
MEBL	Meezan Bank Limited.
NBP	National Bank Of Pakistan.(XD)
SBL	Samba Bank Limited.
SCBPL	Standard Chartered Bank Pak Ltd.
SILK	Silk Bank Limited.
SMBL	Summit Bank Limited.
SNBL	Soneri Bank Ltd.
UBL	United Bank Ltd.
ADOS	Ados Pakistan Limited.
AGHA	Agha Steel Industries Ltd.
ASL	Aisha Steel Mills Limited.
ASLCPS	Aisha Steel Mills Convertible Cumul
ASLPS	Aisha Steel Mills Convertibl Pre-Sh
ASTL	Amreli Steels Limited.
BCL	Bolan Casting Ltd.
BECO	Beco Steel Limited
CSAP	Crescent Steel & Allied Product.
DADX	Dadex Eternit Ltd.
DSL	Dost Steels Ltd. [ DEFAULTER SEGMENT ]
HSPI	Huffaz Seamless Pipe Industries. [ DEFAULTER SEGMENT ]
INIL	International Industries Ltd.
ISL	International Steels Limited.
ITTEFAQ	Ittefaq Iron Industries Limited.
KSBP	KSB Pumps Co Ltd.
MSCL	Metropolitan Steel Corporation
MUGHAL	Mughal Iron & Steels Ind Ltd.
PECO	Pakistan Engineering Co Ltd. [ DEFAULTER SEGMENT ]
QUSW	Quality Steel Works Ltd. [ DEFAULTER SEGMENT ]
ACIETF	Alfalah Consumer Index ETF.
JSMFETF	JS Momentum Factor ETF
MZNPETF	Meezan Pakistan ETF
NBPGETF	NBP Pakistan Growth ETF
NITGETF	NIT Pakistan Gateway ETF.
UBLPETF	UBL Pakistan Enterprise ETF.
AHCL	Arif Habib Corporation Ltd.
EFERT	Engro Fertilizers Limited.
ENGRO	Engro Corporation Limited.
FATIMA	Fatima Fertilizer Co Ltd.
FFBL	Fauji Fertilizer Bin Qasim Ltd.
FFBLR	Fauji Fertilizer Bin Qasim Ltd.(R)
FFC	Fauji Fertilizer Co. Ltd.
ASC	Al-Shaheer Corporation.
ASCR	Al-Shaheer Corporation(R)
BNL	Bunnys Limited
CLOV	Clover Pakistan Limited.
FCEPL	Frieslandcampina Engro Pakistan Ltd.
FFL	Fauji Foods Limited.
GIL	Good Luck Industries Limited.
GLPL	Gillette Pakistan Limited
ISIL	Ismail Industries Ltd.
MFFL	Mitchells Fruit Farms Ltd.
MFL	Matco Foods Limited.
MUREB	Murree Brewery Company Ltd.
NATF	National Foods Ltd.
NESTLE	Nestle Pakistan Ltd.
NMFL	Nirala MSR Foods Limited [ DEFAULTER SEGMENT ]
PREMA	At-Tahur Ltd.
QUICE	Quice Food Industries Ltd.
RMPL	Rafhan Maize Products Ltd. (XD)
SCL	Shield Corporation Ltd.
